p edge 36 105
e 1 5 1
e 2 6 1
e 2 12 1
e 2 16 1
e 2 20 1
e 2 21 1
e 2 24 1
e 2 26 1
e 2 28 1
e 2 32 1
e 3 10 1
e 3 12 1
e 3 14 1
e 3 23 1
e 3 24 1
e 3 31 1
e 4 17 1
e 4 10 1
e 4 29 1
e 4 25 1
e 4 34 1
e 5 34 1
e 5 9 1
e 5 15 1
e 5 18 1
e 5 21 1
e 5 28 1
e 6 13 1
e 6 23 1
e 6 26 1
e 6 29 1
e 6 30 1
e 7 18 1
e 7 21 1
e 7 29 1
e 7 15 1
e 7 24 1
e 8 24 1
e 8 26 1
e 8 27 1
e 8 28 1
e 8 30 1
e 8 32 1
e 9 33 1
e 9 36 1
e 9 13 1
e 9 14 1
e 9 17 1
e 9 19 1
e 9 21 1
e 9 30 1
e 10 19 1
e 10 22 1
e 11 33 1
e 11 27 1
e 11 28 1
e 11 14 1
e 12 35 1
e 12 22 1
e 12 30 1
e 13 20 1
e 13 23 1
e 14 19 1
e 15 17 1
e 15 27 1
e 15 30 1
e 15 31 1
e 16 34 1
e 16 23 1
e 16 24 1
e 16 26 1
e 16 27 1
e 16 30 1
e 17 35 1
e 17 18 1
e 17 21 1
e 17 22 1
e 18 35 1
e 18 32 1
e 19 34 1
e 19 20 1
e 19 26 1
e 20 22 1
e 21 24 1
e 21 26 1
e 21 29 1
e 22 34 1
e 22 36 1
e 23 29 1
e 23 32 1
e 24 27 1
e 24 29 1
e 25 33 1
e 25 26 1
e 25 36 1
e 27 30 1
e 28 33 1
e 28 36 1
e 29 33 1
e 30 35 1
e 30 31 1
e 31 33 1
e 32 35 1
e 32 36 1
e 32 34 1
