p edge 40 110
e 1 4 1
e 1 37 1
e 1 38 1
e 1 40 1
e 1 9 1
e 1 12 1
e 1 15 1
e 1 36 1
e 1 21 1
e 1 25 1
e 1 30 1
e 2 3 1
e 2 12 1
e 3 35 1
e 3 6 1
e 3 9 1
e 3 13 1
e 3 18 1
e 3 21 1
e 3 27 1
e 4 33 1
e 4 14 1
e 4 39 1
e 5 38 1
e 5 7 1
e 5 16 1
e 5 17 1
e 5 22 1
e 5 26 1
e 5 27 1
e 5 30 1
e 6 10 1
e 6 13 1
e 6 19 1
e 6 15 1
e 7 27 1
e 7 12 1
e 7 14 1
e 8 39 1
e 8 10 1
e 8 14 1
e 8 19 1
e 8 24 1
e 8 27 1
e 9 33 1
e 9 35 1
e 9 21 1
e 9 25 1
e 10 18 1
e 10 11 1
e 10 38 1
e 11 36 1
e 11 34 1
e 11 18 1
e 12 36 1
e 12 34 1
e 12 14 1
e 12 18 1
e 13 35 1
e 13 40 1
e 13 19 1
e 13 21 1
e 13 24 1
e 14 40 1
e 14 28 1
e 14 31 1
e 15 34 1
e 15 37 1
e 15 21 1
e 15 22 1
e 16 17 1
e 16 37 1
e 16 30 1
e 16 40 1
e 17 18 1
e 17 23 1
e 17 26 1
e 17 27 1
e 18 37 1
e 18 19 1
e 18 20 1
e 18 22 1
e 18 24 1
e 18 28 1
e 18 30 1
e 19 20 1
e 19 21 1
e 20 25 1
e 21 33 1
e 21 23 1
e 22 36 1
e 23 25 1
e 23 29 1
e 23 32 1
e 24 25 1
e 24 26 1
e 25 35 1
e 25 26 1
e 27 36 1
e 27 29 1
e 27 31 1
e 27 32 1
e 28 38 1
e 29 37 1
e 31 34 1
e 32 37 1
e 32 35 1
e 32 38 1
e 33 35 1
e 39 40 1
