p edge 58 94
e 1 5 1
e 1 11 1
e 1 47 1
e 1 18 1
e 1 56 1
e 1 27 1
e 1 31 1
e 2 51 1
e 2 52 1
e 2 24 1
e 3 25 1
e 3 5 1
e 4 43 1
e 4 19 1
e 4 27 1
e 4 14 1
e 4 40 1
e 5 42 1
e 5 43 1
e 6 26 1
e 6 23 1
e 6 8 1
e 7 19 1
e 7 46 1
e 7 37 1
e 7 30 1
e 7 8 1
e 8 58 1
e 8 13 1
e 8 56 1
e 9 21 1
e 10 33 1
e 10 29 1
e 10 55 1
e 10 47 1
e 11 35 1
e 11 36 1
e 11 56 1
e 12 49 1
e 12 54 1
e 12 29 1
e 12 30 1
e 12 46 1
e 14 22 1
e 14 30 1
e 15 58 1
e 15 31 1
e 16 58 1
e 16 19 1
e 16 23 1
e 17 33 1
e 17 38 1
e 17 43 1
e 17 45 1
e 17 51 1
e 17 27 1
e 17 30 1
e 18 47 1
e 18 39 1
e 19 50 1
e 19 45 1
e 20 57 1
e 20 40 1
e 20 46 1
e 20 47 1
e 20 32 1
e 21 49 1
e 21 53 1
e 22 30 1
e 23 32 1
e 24 36 1
e 24 54 1
e 25 57 1
e 26 54 1
e 27 43 1
e 27 34 1
e 29 57 1
e 29 55 1
e 31 39 1
e 31 32 1
e 33 54 1
e 38 43 1
e 38 47 1
e 39 41 1
e 39 44 1
e 39 46 1
e 39 47 1
e 42 45 1
e 43 58 1
e 45 46 1
e 46 47 1
e 46 48 1
e 50 53 1
e 53 56 1
