p edge 55 87
e 1 17 1
e 1 44 1
e 1 22 1
e 2 35 1
e 2 8 1
e 2 9 1
e 2 3 1
e 2 14 1
e 2 50 1
e 2 19 1
e 3 37 1
e 3 11 1
e 3 45 1
e 3 52 1
e 3 53 1
e 3 25 1
e 4 17 1
e 4 7 1
e 4 16 1
e 7 42 1
e 7 14 1
e 7 32 1
e 8 29 1
e 8 46 1
e 8 16 1
e 9 47 1
e 9 23 1
e 10 41 1
e 10 40 1
e 11 51 1
e 11 29 1
e 11 27 1
e 12 45 1
e 12 20 1
e 12 13 1
e 13 26 1
e 13 29 1
e 13 31 1
e 14 31 1
e 14 18 1
e 15 52 1
e 15 38 1
e 16 47 1
e 17 47 1
e 18 49 1
e 18 54 1
e 18 32 1
e 18 22 1
e 19 27 1
e 19 43 1
e 19 42 1
e 19 32 1
e 20 42 1
e 20 21 1
e 20 47 1
e 20 48 1
e 21 28 1
e 21 35 1
e 21 53 1
e 21 31 1
e 22 51 1
e 23 27 1
e 23 30 1
e 24 26 1
e 25 40 1
e 26 40 1
e 26 47 1
e 27 49 1
e 27 29 1
e 28 41 1
e 29 33 1
e 29 47 1
e 29 32 1
e 30 51 1
e 31 44 1
e 31 50 1
e 32 35 1
e 32 38 1
e 33 41 1
e 33 50 1
e 37 51 1
e 38 39 1
e 39 52 1
e 44 52 1
e 46 50 1
e 46 52 1
e 47 48 1
