p edge 44 144
e 1 43 1
e 1 3 1
e 1 40 1
e 1 11 1
e 1 15 1
e 1 20 1
e 1 25 1
e 1 27 1
e 1 30 1
e 2 9 1
e 2 41 1
e 2 22 1
e 2 15 1
e 2 38 1
e 3 26 1
e 3 19 1
e 3 13 1
e 4 36 1
e 4 40 1
e 4 41 1
e 4 21 1
e 4 23 1
e 4 28 1
e 4 29 1
e 4 31 1
e 5 33 1
e 5 38 1
e 5 18 1
e 5 23 1
e 5 29 1
e 5 31 1
e 6 34 1
e 6 35 1
e 6 36 1
e 6 43 1
e 6 16 1
e 6 19 1
e 6 22 1
e 7 43 1
e 7 21 1
e 7 14 1
e 8 18 1
e 8 27 1
e 8 29 1
e 8 22 1
e 9 11 1
e 9 27 1
e 9 15 1
e 9 40 1
e 10 17 1
e 10 22 1
e 10 16 1
e 11 20 1
e 11 26 1
e 11 24 1
e 12 33 1
e 12 41 1
e 12 43 1
e 12 28 1
e 12 21 1
e 13 33 1
e 13 39 1
e 13 41 1
e 13 35 1
e 13 14 1
e 13 29 1
e 13 32 1
e 14 39 1
e 14 15 1
e 14 18 1
e 14 19 1
e 14 24 1
e 14 28 1
e 14 32 1
e 15 38 1
e 15 19 1
e 15 22 1
e 15 23 1
e 15 28 1
e 16 25 1
e 16 33 1
e 16 24 1
e 17 41 1
e 17 43 1
e 17 44 1
e 17 24 1
e 17 31 1
e 18 41 1
e 18 26 1
e 19 35 1
e 19 37 1
e 19 39 1
e 19 28 1
e 19 31 1
e 20 34 1
e 20 35 1
e 20 21 1
e 20 25 1
e 20 28 1
e 20 29 1
e 21 34 1
e 21 42 1
e 21 32 1
e 22 25 1
e 22 32 1
e 23 36 1
e 23 39 1
e 23 41 1
e 23 44 1
e 24 34 1
e 24 41 1
e 24 25 1
e 24 28 1
e 25 38 1
e 25 44 1
e 25 32 1
e 26 36 1
e 26 29 1
e 26 43 1
e 26 31 1
e 27 33 1
e 28 38 1
e 28 43 1
e 29 36 1
e 29 38 1
e 29 40 1
e 30 41 1
e 30 36 1
e 31 38 1
e 31 39 1
e 31 40 1
e 33 35 1
e 33 44 1
e 33 39 1
e 34 38 1
e 34 42 1
e 34 44 1
e 35 43 1
e 35 44 1
e 35 38 1
e 36 40 1
e 37 44 1
e 39 41 1
e 39 44 1
